MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Marcella,(2016– ),"
Crime, Drama, Mystery            ",7.4,"
Marcella Backland left the Metropolitan Police for the sake of her family, only to have her husband leave her. She returns to her job on the murder squad, investigating a case that seems disturbingly familiar to her.","
            
    Stars:
Anna Friel, 
Ray Panthaki, 
Jack Doolan, 
Jamie Bamber
","26,485",45,
Tropic Thunder,-2008,"
Action, Comedy, War            ",7,"
Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying.","
    Director:
Ben Stiller
| 
    Stars:
Ben Stiller, 
Jack Black, 
Robert Downey Jr., 
Jeff Kahn
","3,91,033",107,$110.52M
Freaks and Geeks,(1999–2000),"
Comedy, Drama            ",8.7,"
A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.","
            
    Stars:
Linda Cardellini, 
John Francis Daley, 
James Franco, 
Samm Levine
","1,33,607",44,
iZombie,(2015–2019),"
Comedy, Crime, Drama            ",7.8,"
A medical resident finds that being a zombie has its perks, which she uses to assist the police.","
            
    Stars:
Rose McIver, 
Malcolm Goodwin, 
Rahul Kohli, 
Robert Buckley
","62,258",42,
Spirit Untamed,-2021,"
Animation, Adventure, Family            ",5.4,"
Lucky Prescott's life is changed forever when she moves from her home in the city to a small frontier town and befriends a wild mustang named Spirit.","
    Directors:
Elaine Bogan, 
Ennio Torresan
| 
    Stars:
Isabela Merced, 
Marsai Martin, 
Mckenna Grace, 
Walton Goggins
","1,741",88,
Poldark,(2015–2019),"
Drama, History, Romance            ",8.3,"
Ross Poldark returns home after American Revolutionary War and rebuilds his life with a new business venture, making new enemies and finding a new love where he least expects it.","
            
    Stars:
Aidan Turner, 
Eleanor Tomlinson, 
Jack Farthing, 
Beatie Edney
","27,588",60,
Beauty and the Beast,(I) (2017),"
Family, Fantasy, Musical            ",7.1,"
A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner.","
    Director:
Bill Condon
| 
    Stars:
Emma Watson, 
Dan Stevens, 
Luke Evans, 
Josh Gad
","2,84,484",129,$504.01M
Penny Dreadful,(2014–2016),"
Drama, Fantasy, Horror            ",8.2,"
Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, scientist Victor Frankenstein and medium Vanessa Ives unite to combat supernatural threats in Victorian London.","
            
    Stars:
Josh Hartnett, 
Timothy Dalton, 
Eva Green, 
Reeve Carney
","1,15,055",60,
Unbelievable,-2019,"
Crime, Drama            ",8.4,"
A teenager is charged with lying about having been raped, but two detectives follow the path to the truth.","
            
    Stars:
Kaitlyn Dever, 
Toni Collette, 
Merritt Wever, 
Blake Ellis
","81,658",385,
Fate: The Winx Saga,(2021– ),"
Action, Adventure, Drama            ",6.9,"
A live-action adaptation of Nickelodeon's Winx Club (2004). It follows Bloom as she adjusts to life in the Otherworld, where she must learn to control her dangerous magical powers.","
            
    Stars:
Freddie Thorp, 
Sadie Soverall, 
Theo Graham, 
Abigail Cowen
","30,827",,
Feel Good,(2020–2021),"
Comedy, Drama, Romance            ",7.5,"
The series follows recovering addict and comedian Mae, who is trying to control the addictive behaviors and intense romanticism that permeate every facet of her life.","
            
    Stars:
Mae Martin, 
Charlotte Ritchie, 
Phil Burgers, 
Jack Barry
","7,949",30,
Bodyguard,-2018,"
Crime, Drama, Thriller            ",8.1,"
A contemporary thriller featuring the Royalty and Specialist Protection Branch of London's Metropolitan Police Service.","
            
    Stars:
Richard Madden, 
Sophie Rundle, 
Vincent Franklin, 
Ash Tandon
","1,03,187",60,
The Legend of Korra,(2012–2014),"
Animation, Action, Adventure            ",8.4,"
Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.","
            
    Stars:
Janet Varney, 
P.J. Byrne, 
David Faustino, 
J.K. Simmons
","1,09,581",23,
Bird Box,-2018,"
Horror, Sci-Fi            ",6.6,"
Five years after an ominous unseen presence drives most of society to suicide, a mother and her two children make a desperate bid to reach safety.","
    Director:
Susanne Bier
| 
    Stars:
Sandra Bullock, 
Trevante Rhodes, 
John Malkovich, 
Sarah Paulson
","2,97,927",124,
She-Ra and the Princesses of Power,(2018–2020),"
Animation, Action, Adventure            ",7.9,"
She-Ra, Princess of Power, leads a rebellion to free her land of Etheria from the monstrous invaders the Horde.","
            
    Stars:
Aimee Carrero, 
Marcus Scribner, 
Karen Fukuhara, 
AJ Michalka
","11,967",30,
Scorpion,(2014–2018),"
Action, Crime, Drama            ",7.1,"
An eccentric genius forms an international network of super-geniuses to act as the last line of defense against the complicated threats of the modern world.","
            
    Stars:
Elyes Gabel, 
Katharine McPhee, 
Eddie Kaye Thomas, 
Jadyn Wong
","48,387",43,
Derry Girls,(2018– ),"
Comedy            ",8.4,"
The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.","
            
    Stars:
Saoirse-Monica Jackson, 
Louisa Harland, 
Nicola Coughlan, 
Jamie-Lee O'Donnell
","24,293",30,
Hell or High Water,(II) (2016),"
Action, Crime, Drama            ",7.6,"
A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.","
    Director:
David Mackenzie
| 
    Stars:
Chris Pine, 
Ben Foster, 
Jeff Bridges, 
Gil Birmingham
","2,11,816",102,$26.86M
The Babysitter,(I) (2017),"
Comedy, Horror            ",6.3,"
When Cole stays up past his bedtime, he discovers that his hot baby sitter belongs to a satanic cult that will stop at nothing to keep him quiet.","
    Director:
McG
| 
    Stars:
Judah Lewis, 
Samara Weaving, 
Robbie Amell, 
Hana Mae Lee
","79,593",85,
Marriage Story,-2019,"
Comedy, Drama, Romance            ",7.9,"
Noah Baumbach's incisive and compassionate look at a marriage breaking up and a family staying together.","
    Director:
Noah Baumbach
| 
    Stars:
Adam Driver, 
Scarlett Johansson, 
Julia Greer, 
Azhy Robertson
","2,66,307",137,$2.00M
Ratched,(2020– ),"
Crime, Drama, Mystery            ",7.3,"
In 1947, Mildred Ratched begins working as a nurse at a leading psychiatric hospital. But beneath her stylish exterior lurks a growing darkness.","
            
    Stars:
Sarah Paulson, 
Finn Wittrock, 
Cynthia Nixon, 
Judy Davis
","44,914",,
Annihilation,-2018,"
Adventure, Drama, Horror            ",6.8,"
A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.","
    Director:
Alex Garland
| 
    Stars:
Natalie Portman, 
Jennifer Jason Leigh, 
Tessa Thompson, 
Benedict Wong
","2,93,459",115,$32.73M
Fractured,(I) (2019),"
Mystery, Thriller            ",6.4,"
A couple stops at a gas station, where their 6 y.o. daughter's arm is fractured. They hurry to a hospital. Something strange is going on there. The wife and daughter go missing.","
    Director:
Brad Anderson
| 
    Stars:
Sam Worthington, 
Lily Rabe, 
Lucy Capri, 
Adjoa Andoh
","62,113",99,
El Camino: A Breaking Bad Movie,-2019,"
Action, Crime, Drama            ",7.3,"
Fugitive Jesse Pinkman runs from his captors, the law, and his past.","
    Director:
Vince Gilligan
| 
    Stars:
Aaron Paul, 
Jonathan Banks, 
Matt Jones, 
Charles Baker
","2,00,029",122,
Godless,-2017,"
Drama, Western            ",8.3,"
In the 1880s American West, murderous outlaw gang leader Frank Griffin hunts for ex-protege Roy Goode. Frank's chase leads him to La Belle, New Mexico--a town inhabited, after a mining disaster, almost entirely by women.","
            
    Stars:
Jack O'Connell, 
Michelle Dockery, 
Scoot McNairy, 
Merritt Wever
","56,997",452,
Haikyuu!!,(2014–2020),"
Animation, Comedy, Drama            ",8.7,"
Determined to be like the volleyball championship's star player Shouyou, a short boy nicknamed ""the small giant,"" joins his school's volleyball club.","
            
    Stars:
Ayumu Murase, 
Kaito Ishikawa, 
Yu Hayashi, 
Satoshi Hino
","15,250",24,
Wind River,-2017,"
Crime, Drama, Mystery            ",7.7,"
A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.","
    Director:
Taylor Sheridan
| 
    Stars:
Elizabeth Olsen, 
Jeremy Renner, 
Graham Greene, 
Kelsey Asbille
","2,18,337",107,$33.80M
Dirilis: Ertugrul,(2014–2019),"
Action, Adventure, Drama            ",8,"
The heroic story of Ertugrul Ghazi, the father of Osman (Uthman) who founded the Ottoman Empire.","
            
    Stars:
Engin Altan Düzyatan, 
Hülya Darcan, 
Cengiz Coskun, 
Nurettin Sönmez
","31,182",120,
Frozen,(I) (2013),"
Animation, Adventure, Comedy            ",7.4,"
When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.","
    Directors:
Chris Buck, 
Jennifer Lee
| 
    Stars:
Kristen Bell, 
Idina Menzel, 
Jonathan Groff, 
Josh Gad
","5,86,769",102,$400.74M
The Haunting of Bly Manor,-2020,"
Drama, Horror, Mystery            ",7.4,"
After an au pair’s tragic death, Henry hires a young American nanny to care for his orphaned niece and nephew who reside at Bly Manor with the chef Owen, groundskeeper Jamie and housekeeper, Mrs. Grose.","
            
    Stars:
Victoria Pedretti, 
Oliver Jackson-Cohen, 
Amelia Eve, 
T'Nia Miller
","77,872",494,
Charlie's Angels,-2019,"
Action, Adventure, Comedy            ",4.8,"
When a young systems engineer blows the whistle on a dangerous technology, Charlie's Angels are called into action, putting their lives on the line to protect us all.","
    Director:
Elizabeth Banks
| 
    Stars:
Kristen Stewart, 
Naomi Scott, 
Ella Balinska, 
Elizabeth Banks
","62,393",118,
Love,(2016–2018),"
Comedy, Drama, Romance            ",7.7,"
A program that follows a couple who must navigate the exhilarations and humiliations of intimacy, commitment and other things they were hoping to avoid.","
            
    Stars:
Gillian Jacobs, 
Paul Rust, 
Claudia O'Doherty, 
Mike Mitchell
","39,010",50,
Spenser Confidential,-2020,"
Action, Comedy, Crime            ",6.2,"
When two Boston police officers are murdered, ex-cop Spenser teams up with his no-nonsense roommate, Hawk, to take down criminals.","
    Director:
Peter Berg
| 
    Stars:
Mark Wahlberg, 
Winston Duke, 
Alan Arkin, 
Iliza Shlesinger
","77,727",111,
Centaurworld,(2021– ),"
Animation, Adventure, Comedy            ",7.5,"
A hardened war horse transported away from battle finds herself in a land that's inhabited by silly, singing centaurs of all shapes and sizes.","
            
    Stars:
Kimiko Glenn, 
Megan Hilty, 
Parvesh Cheena, 
Chris Diamantopoulos
",207,25,
Lo imposible,-2012,"
Drama, History, Thriller            ",7.6,"
The story of a tourist family in Thailand caught in the destruction and chaotic aftermath of the 2004 Indian Ocean tsunami.","
    Director:
J.A. Bayona
| 
    Stars:
Naomi Watts, 
Ewan McGregor, 
Tom Holland, 
Oaklee Pendergast
","2,08,903",114,$19.02M
Shadowhunters: The Mortal Instruments,(2016–2019),"
Action, Drama, Fantasy            ",6.6,"
After her mother disappears, Clary must venture into the dark world of demon hunting, and embrace her new role among the Shadowhunters.","
            
    Stars:
Katherine McNamara, 
Dominic Sherwood, 
Alberto Rosende, 
Matthew Daddario
","56,183",42,
The Ranch,(2016–2020),"
Comedy, Drama, Western            ",7.5,"
The son of a Colorado rancher returns home from a semi-pro football career to run the family business.","
            
    Stars:
Ashton Kutcher, 
Sam Elliott, 
Grady Lee Richmond, 
Elisha Cuthbert
","35,091",30,
Shooter,(2016–2018),"
Action, Drama            ",7.5,"
A conspiracy thriller that follows the journey of Bob Lee Swagger, a highly-decorated veteran who is coaxed back into action to prevent a plot to kill the President.","
            
    Stars:
Ryan Phillippe, 
Shantel VanSanten, 
Cynthia Addai-Robinson, 
Omar Epps
","33,000",60,
Zoo,(2015–2017),"
Drama, Mystery, Sci-Fi            ",6.7,"
A young scientist searches to find out what's causing a rash of violent animal attacks.","
            
    Stars:
James Wolk, 
Kristen Connolly, 
Nonso Anozie, 
Billy Burke
","23,095",42,
The Trial of the Chicago 7,-2020,"
Drama, History, Thriller            ",7.8,"
The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.","
    Director:
Aaron Sorkin
| 
    Stars:
Eddie Redmayne, 
Alex Sharp, 
Sacha Baron Cohen, 
Jeremy Strong
","1,53,211",129,
Comment je suis devenu super-héros,-2020,"
Action, Adventure, Comedy            ",5.8,"
While superheroes have assimilated into Parisian society, a new drug gives super powers to mere mortals.","
    Director:
Douglas Attal
| 
    Stars:
Pio Marmaï, 
Vimala Pons, 
Benoît Poelvoorde, 
Leïla Bekhti
","3,214",97,
Stowaway,-2021,"
Drama, Sci-Fi, Thriller            ",5.6,"
A three-person crew on a mission to Mars faces an impossible choice when an unplanned passenger jeopardizes the lives of everyone on board.","
    Director:
Joe Penna
| 
    Stars:
Anna Kendrick, 
Daniel Dae Kim, 
Shamier Anderson, 
Toni Collette
","36,937",116,
The Nice Guys,-2016,"
Action, Comedy, Crime            ",7.4,"
In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.","
    Director:
Shane Black
| 
    Stars:
Russell Crowe, 
Ryan Gosling, 
Angourie Rice, 
Matt Bomer
","2,95,435",116,$36.26M
The Snowman,-2017,"
Crime, Drama, Thriller            ",5.1,"
Detective Harry Hole investigates the disappearance of a woman whose scarf is found wrapped around an ominous-looking snowman.","
    Director:
Tomas Alfredson
| 
    Stars:
Michael Fassbender, 
Rebecca Ferguson, 
Charlotte Gainsbourg, 
Jonas Karlsson
","60,354",119,$6.67M
Moonrise Kingdom,-2012,"
Comedy, Drama, Romance            ",7.8,"
A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.","
    Director:
Wes Anderson
| 
    Stars:
Jared Gilman, 
Kara Hayward, 
Bruce Willis, 
Bill Murray
","3,28,550",94,$45.51M
Contagion,-2011,"
Drama, Thriller            ",6.7,"
Healthcare professionals, government officials and everyday people find themselves in the midst of a pandemic as the CDC works to find a cure.","
    Director:
Steven Soderbergh
| 
    Stars:
Matt Damon, 
Kate Winslet, 
Jude Law, 
Gwyneth Paltrow
","2,90,444",106,$75.66M
Nashville,(2012–2018),"
Drama, Music, Romance            ",7.7,"
Follows the lives and tragedies of rising and fading country music stars in Nashville, Tennessee.","
            
    Stars:
Hayden Panettiere, 
Clare Bowen, 
Charles Esten, 
Jonathan Jackson
","23,735",43,
This Is England,-2006,"
Crime, Drama            ",7.7,"
A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.","
    Director:
Shane Meadows
| 
    Stars:
Thomas Turgoose, 
Stephen Graham, 
Jo Hartley, 
Andrew Shim
","1,17,889",101,$0.33M
El hoyo,-2019,"
Horror, Sci-Fi, Thriller            ",7,"
A vertical prison with one cell per level. Two people per cell. Only one food platform and two minutes per day to feed. An endless nightmare trapped in The Hole.","
    Director:
Galder Gaztelu-Urrutia
| 
    Stars:
Ivan Massagué, 
Zorion Eguileor, 
Antonia San Juan, 
Emilio Buale
","1,83,495",94,
Scream,(2015–2019),"
Comedy, Crime, Drama            ",7.1,"
A serialized anthology series that follows a group of teenagers being targeted by a masked serial killer.","
            
    Stars:
Willa Fitzgerald, 
Bex Taylor-Klaus, 
John Karna, 
Carlson Young
","35,660",45,
Halston,-2021,"
Biography, Drama            ",7.5,"
The story of a man who leverages his single, invented name into a worldwide fashion empire that's synonymous with luxury, sex, status and fame, literally defining the era.","
            
    Stars:
Ewan McGregor, 
Rebecca Dayan, 
David Pittu, 
Krysta Rodriguez
","10,460",240,
Castle Rock,(2018–2019),"
Drama, Fantasy, Horror            ",7.6,"
Based on the stories of Stephen King, the series intertwines characters and themes from the fictional town of Castle Rock.","
            
    Stars:
Bill Skarsgård, 
André Holland, 
Lizzy Caplan, 
Melanie Lynskey
","40,731",60,
Misfits,(2009–2013),"
Comedy, Drama, Fantasy            ",8.2,"
A group of young offenders doing community service get struck by lightning during a storm, and begin to develop superpowers.","
            
    Stars:
Nathan Stewart-Jarrett, 
Joe Gilgun, 
Iwan Rheon, 
Lauren Socha
","95,735",60,
Medici,(2016–2019),"
Biography, Drama, History            ",7.9,"
A political family drama set in Florence in the early fifteenth century. Cosimo de Medici finds himself at the helm of his banking dynasty when his father, Giovanni, dies suddenly.","
            
    Stars:
Daniel Sharman, 
Alessandra Mastronardi, 
Synnove Karlsen, 
Sebastian De Souza
","16,659",60,
I'm Thinking of Ending Things,-2020,"
Drama, Thriller            ",6.6,"
Full of misgivings, a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving, she comes to question everything she thought she knew about him, and herself.","
    Director:
Charlie Kaufman
| 
    Stars:
Jesse Plemons, 
Jessie Buckley, 
Toni Collette, 
David Thewlis
","71,640",134,
Willy Wonka & the Chocolate Factory,-1971,"
Family, Fantasy, Musical            ",7.8,"
A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.","
    Director:
Mel Stuart
| 
    Stars:
Gene Wilder, 
Jack Albertson, 
Peter Ostrum, 
Roy Kinnear
","1,86,202",100,$4.00M
Fantasy Island,-2020,"
Action, Adventure, Fantasy            ",4.9,"
When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.","
    Director:
Jeff Wadlow
| 
    Stars:
Michael Peña, 
Maggie Q, 
Lucy Hale, 
Austin Stowell
","41,744",109,
Doc Martin,(2004– ),"
Comedy, Drama, Romance            ",8.3,"
The trials and tribulations of Dr. Martin Ellingham (Martin Clunes), a socially challenged doctor who moves from London to the picturesque village of Port Wenn in Cornwall.","
            
    Stars:
Martin Clunes, 
Caroline Catz, 
Ian McNeice, 
Joe Absolom
","13,580",46,
Homefront,(I) (2013),"
Action, Crime, Thriller            ",6.5,"
A former DEA agent moves his family to a quiet town, where he soon tangles with a local meth druglord.","
    Director:
Gary Fleder
| 
    Stars:
Jason Statham, 
James Franco, 
Winona Ryder, 
Kate Bosworth
","1,13,476",100,$20.16M
The Power of the Dog,-2021,"
Drama, Romance, Western            ",,"
Charismatic rancher Phil Burbank inspires fear and awe in those around him. When his brother brings home a new wife and her son, Phil torments them until he finds himself exposed to the possibility of love.","
    Director:
Jane Campion
| 
    Stars:
Thomasin McKenzie, 
Jesse Plemons, 
Kirsten Dunst, 
Benedict Cumberbatch
",,125,
Dead Poets Society,-1989,"
Comedy, Drama            ",8.1,"
Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.","
    Director:
Peter Weir
| 
    Stars:
Robin Williams, 
Robert Sean Leonard, 
Ethan Hawke, 
Josh Charles
","4,43,357",128,$95.86M
Contratiempo,-2016,"
Crime, Drama, Mystery            ",8.1,"
A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.","
    Director:
Oriol Paulo
| 
    Stars:
Mario Casas, 
Ana Wagener, 
Jose Coronado, 
Bárbara Lennie
","1,57,061",106,
There's Something About Mary,-1998,"
Comedy, Romance            ",7.1,"
A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster.","
    Directors:
Bobby Farrelly, 
Peter Farrelly
| 
    Stars:
Cameron Diaz, 
Matt Dillon, 
Ben Stiller, 
Lee Evans
","2,98,729",119,$176.48M
Trailer Park Boys,(2001–2018),"
Comedy, Crime            ",8.5,"
Three petty felons have a documentary made about their life in a trailer park.","
            
    Stars:
John Paul Tremblay, 
Robb Wells, 
Mike Smith, 
John Dunsworth
","38,861",30,
Binsenjo,(2021– ),"
Comedy, Crime, Romance            ",8.5,"
During a visit to his motherland, a Korean-Italian mafia lawyer gives an unrivaled conglomerate a taste of its own medicine with a side of justice.","
            
    Stars:
Song Joong-ki, 
Jeon Yeo-bin, 
Taecyeon, 
Im Chul-soo
","7,888",80,
Full House,(1987–1995),"
Comedy, Drama, Family            ",6.7,"
A widowed broadcaster raises his three daughters with assistance from his rock'n'roll brother-in-law and his madcap best friend.","
            
    Stars:
Bob Saget, 
John Stamos, 
Dave Coulier, 
Candace Cameron Bure
","54,419",22,
The OA,(2016–2019),"
Drama, Fantasy, Mystery            ",7.8,"
Having gone missing seven years ago, the previously blind Prairie returns home, now in her twenties with her sight restored. While many believe she is a miracle, others worry that she could be dangerous.","
            
    Stars:
Brit Marling, 
Jason Isaacs, 
Scott Wilson, 
Alice Krige
","94,862",60,
Lucy,(I) (2014),"
Action, Sci-Fi, Thriller            ",6.4,"
A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.","
    Director:
Luc Besson
| 
    Stars:
Scarlett Johansson, 
Morgan Freeman, 
Choi Min-sik, 
Amr Waked
","4,62,122",89,$126.66M
Will & Grace,(1998–2020),"
Comedy, Romance            ",7.2,"
Gay lawyer Will and straight interior designer Grace share a New York City apartment. Their best friends are gleeful and proud gay Jack and charismatic, filthy-rich, amoral socialite Karen.","
            
    Stars:
Eric McCormack, 
Debra Messing, 
Megan Mullally, 
Sean Hayes
","52,269",22,
Luke Cage,(2016–2018),"
Action, Crime, Drama            ",7.3,"
When a sabotaged experiment gives him super strength and unbreakable skin, Luke Cage becomes a fugitive attempting to rebuild his life in Harlem and must soon confront his past and fight a battle for the heart of his city.","
            
    Stars:
Mike Colter, 
Simone Missick, 
Theo Rossi, 
Alfre Woodard
","1,20,187",55,
GLOW,(2017–2019),"
Comedy, Drama, Sport            ",8,"
A look at the personal and professional lives of a group of women who perform for a wrestling organization in Los Angeles during the 1980s.","
            
    Stars:
Alison Brie, 
Marc Maron, 
Betty Gilpin, 
Britt Baron
","42,221",35,
Wet Hot American Summer: Ten Years Later,-2017,"
Comedy            ",6.9,"
The campers and counselors of Camp Firewood meet ten years after their last day at camp.","
            
    Stars:
Nina Hellman, 
Marguerite Moreau, 
Zak Orth, 
Michael Showalter
","7,784",216,
The Mummy,-2017,"
Action, Adventure, Fantasy            ",5.4,"
An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.","
    Director:
Alex Kurtzman
| 
    Stars:
Tom Cruise, 
Sofia Boutella, 
Annabelle Wallis, 
Russell Crowe
","1,77,592",110,$80.10M
When They See Us,-2019,"
Biography, Crime, Drama            ",8.9,"
Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.","
            
    Stars:
Asante Blackk, 
Caleel Harris, 
Ethan Herisse, 
Marquis Rodriguez
","1,02,201",296,
22-Jul,-2018,"
Crime, Drama, History            ",6.8,"
A three-part story of Norway's worst terrorist attack in which over seventy people were killed. 22 July looks at the disaster itself, the survivors, Norway's political system and the lawyers who worked on this horrific case.","
    Director:
Paul Greengrass
| 
    Stars:
Anders Danielsen Lie, 
Jonas Strand Gravli, 
Jon Øigarden, 
Maria Bock
","30,905",143,
When Calls the Heart,(2014– ),"
Drama, Family, Romance            ",8.1,"
Elizabeth Thatcher, a young school teacher from a wealthy Eastern family, migrates from the big city to teach school in a small coal mining town in the west.","
            
    Stars:
Erin Krakow, 
Martin Cummins, 
Pascale Hutton, 
Jack Wagner
","11,306",43,
A Series of Unfortunate Events,(2017–2019),"
Adventure, Comedy, Drama            ",7.8,"
After the loss of their parents in a mysterious fire, the three Baudelaire children face trials and tribulations attempting to uncover dark family secrets.","
            
    Stars:
Neil Patrick Harris, 
Patrick Warburton, 
Malina Weissman, 
Louis Hynes
","55,753",50,
Birdman or (The Unexpected Virtue of Ignorance),-2014,"
Comedy, Drama            ",7.7,"
A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.","
    Director:
Alejandro G. Iñárritu
| 
    Stars:
Michael Keaton, 
Zach Galifianakis, 
Edward Norton, 
Andrea Riseborough
","5,95,946",119,$42.34M
RuPaul's Drag Race All Stars,(2012– ),"
Game-Show, Reality-TV            ",8.5,"
New show will serve up a new twist on the mega-hit RuPaul's Drag Race as it pits queens from previous seasons in a wig-to-wig drag battle royale.","
            
    Stars:
RuPaul, 
Michelle Visage, 
Carson Kressley, 
Ross Mathews
","6,644",60,
Sophie: A Murder in West Cork,-2021,"
Documentary, Crime, History            ",6.9,"
The documentary follows the investigation of Sophie Toscan Du Plantier, a French film and TV producer who was killed while at her isolated holiday cottage in West Cork, Ireland, in 1996.","
            
    Stars:
Ian Bailey, 
Barry Roche, 
Eugene Gilligan, 
Bertrand Bouniol
","3,235",164,
Knock Knock,(I) (2015),"
Drama, Thriller            ",4.9,"
A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.","
    Director:
Eli Roth
| 
    Stars:
Keanu Reeves, 
Lorenza Izzo, 
Ana de Armas, 
Aaron Burns
","87,474",99,$0.04M
Madam Secretary,(2014–2019),"
Drama            ",7.6,"
A political drama which looks into the life of the Secretary of State as she tries to balance work with family.","
            
    Stars:
Téa Leoni, 
Tim Daly, 
Erich Bergen, 
Zeljko Ivanek
","20,755",45,
Hauru no ugoku shiro,-2004,"
Animation, Adventure, Family            ",8.2,"
When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.","
    Director:
Hayao Miyazaki
| 
    Stars:
Chieko Baishô, 
Takuya Kimura, 
Tatsuya Gashûin, 
Akihiro Miwa
","3,51,466",119,$4.71M
The Alienist,(2018–2020),"
Crime, Drama, Mystery            ",7.7,"
Newspaper illustrator John Moore meets with criminal psychologist (alienist) Dr. Laszlo Kreizler to investigate a serial killer in New York during the late 19th century.","
            
    Stars:
Daniel Brühl, 
Dakota Fanning, 
Luke Evans, 
Robert Wisdom
","48,646",60,
Now You See Me,(I) (2013),"
Crime, Mystery, Thriller            ",7.2,"
An F.B.I. Agent and an Interpol Detective track a team of illusionists who pull off bank heists during their performances, and reward their audiences with the money.","
    Director:
Louis Leterrier
| 
    Stars:
Jesse Eisenberg, 
Common, 
Mark Ruffalo, 
Woody Harrelson
","6,14,056",115,$117.72M
Hell's Kitchen,(2005– ),"
Game-Show, Reality-TV            ",7.1,"
World renowned chef Gordon Ramsay puts aspiring young chefs through rigorous cooking challenges and dinner services at his restaurant in Hollywood, ""Hell's Kitchen"".","
            
    Stars:
Gordon Ramsay, 
Jean Philippe Susilovic, 
Scott Leibfried, 
Jason Thompson
","19,419",42,
The Ballad of Buster Scruggs,-2018,"
Comedy, Drama, Musical            ",7.3,"
Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters.","
    Directors:
Ethan Coen, 
Joel Coen
| 
    Stars:
Tim Blake Nelson, 
Willie Watson, 
Clancy Brown, 
Danny McCarthy
","1,30,664",133,
The Lost World: Jurassic Park,-1997,"
Action, Adventure, Sci-Fi            ",6.6,"
A research team is sent to the Jurassic Park Site B island to study the dinosaurs there, while an InGen team approaches with another agenda.","
    Director:
Steven Spielberg
| 
    Stars:
Jeff Goldblum, 
Julianne Moore, 
Pete Postlethwaite, 
Vince Vaughn
","3,90,425",129,$229.09M
The Politician,(2019– ),"
Comedy, Drama            ",7.5,"
Payton Hobart, a student from Santa Barbara, has known since age seven that he's going to be President of the United States. But first he'll have to navigate the most treacherous political landscape of all: Saint Sebastian High School.","
            
    Stars:
Ben Platt, 
Zoey Deutch, 
Lucy Boynton, 
Julia Schlaepfer
","19,735",42,
Marco Polo,(2014–2016),"
Adventure, Drama, History            ",8,"
In a world replete with greed, betrayal, sexual intrigue and rivalry, ""Marco Polo"" is based on the famed explorer's adventures in Kublai Khan's court in 13th century Mongolia.","
            
    Stars:
Lorenzo Richelmy, 
Benedict Wong, 
Joan Chen, 
Remy Hii
","67,083",60,
Tattoo Redo,(2021– ),"
Reality-TV            ",5.6,"
Bad tattoos walk in. Great tattoos walk out. Top artists transform tattoo disasters into stunning cover-ups, with designs chosen by clients' loved ones.","
            
    Stars:
Matt Beckerich, 
Rose Hardy, 
Miryam Lumpini, 
Tommy Montoya
",232,,
